t_state,t_county,t_fips,p_name,p_year,p_tnum,p_cap,t_conf_atr,t_conf_loc,xlong,ylat
OR,Gilliam County,41021,Rattlesnake Road,2008,49,102.9,3,3,-120.212585,45.698593
TX,McCulloch County,48307,Rattlesnake Wind,2018,64,160.0,3,3,-99.567902,31.253998
ME,Oxford County,23017,Record Hill,2011,22,50.6,3,3,-70.632301,44.67569
TX,Garza County,48169,Red Canyon Wind Energy,2006,56,84.0,2,3,-101.220215,32.972195
OK,Kingfisher County,40073,Red Dirt,2017,95,299.25,3,3,-97.740601,36.020142
OK,Roger Mills County,40129,Red Hills,2008,82,123.0,3,3,-99.432091,35.531296
AZ,Cochise County,4003,Red Horse 2,2015,15,30.0,3,3,-110.090347,32.270775
NM,Cibola County,35006,Red Mesa,2010,64,102.4,3,3,-107.392593,35.244892
MN,Lincoln County,27081,Red Pine,2017,50,100.0,3,2,-96.235863,44.469845
OK,Grady County,40051,Redbed Plains,2017,17,34.0,3,3,-97.894234,35.241924
MN,Redwood County,27127,Redwood Falls (SMMPA),2005,2,3.3,3,3,-95.175896,44.501591
MN,Pipestone County,27117,Ridgewind,2010,11,25.3,3,3,-96.080894,44.009693
MT,Toole County,30101,Rim Rock,2012,126,189.0,3,3,-112.04879,48.838894
PA,Somerset County,42111,Ringer Hill,2016,14,39.9,3,3,-79.201065,39.728497
IA,Greene County,19073,Rippey,2012,20,50.0,3,3,-94.185989,41.996994
CA,Kern County,6029,Rising Tree North,2014,30,99.0,3,3,-118.23185,35.091949
CA,Kern County,6029,Rising Tree South,2015,30,99.0,3,3,-118.2593,35.063129
MO,Atchison County,29005,Rock Creek,2017,150,300.0,3,3,-95.26545,40.442753
OK,Grant County,40053,Rock Falls,2017,51,133.875,3,3,-97.486862,36.932522
WY,Carbon County,56007,Rock River I,2001,50,50.0,2,3,-106.095978,41.722233
ID,Power County,16077,Rockland,2011,44,79.2,3,3,-112.89769,42.693195
TX,Val Verde County,48465,Rocksprings,2017,53,121.9,3,3,-100.781845,29.767706
OK,Washita County,40149,Rocky Ridge I,2012,93,148.8,3,3,-99.04129,35.185894
IA,Cass County,19029,Rolling Hills,2011,193,443.9,3,3,-94.734589,41.263695
ME,Penobscot County,23019,Rollins,2011,40,60.0,3,3,-68.360901,45.402592
NM,Roosevelt County,35041,Roosevelt,2015,125,250.0,3,3,-103.503563,33.942787
TX,Mitchell County,48335,Roscoe,2008,209,209.0,3,3,-100.661995,32.441494
IA,Cass County,19029,Roseman Energy LLC,2017,1,1.79,3,3,-94.753922,41.373135
WI,Kewaunee County,55061,Rosiere Wind Farm,1999,17,11.22,3,3,-87.630363,44.664154
MD,Garrett County,24023,Roth Rock,2011,20,50.0,3,3,-79.445099,39.277592
TX,Carson County,48065,Route 66,2015,75,150.0,3,3,-101.455269,35.212635
ND,Pierce County,38069,Rugby,2009,71,149.1,3,3,-100.016487,48.51099
OK,Grady County,40051,Rush Springs Wind Energy Center,2016,120,249.0,3,3,-97.83329,34.699127
MN,Lincoln County,27081,Ruthton Wind Farm,2001,24,15.84,3,3,-96.219292,44.22739
WI,Racine County,55101,SC Johnson Waxdale Plant,2012,2,3.0,3,3,-87.888039,42.713242
ME,Franklin County,23007,Saddleback Ridge,2015,9,25.65,3,3,-70.367958,44.614189
CA,San Joaquin County,6077,Safeway Tracy,2011,2,2.0,3,3,-121.521889,37.714294
WA,Kittitas County,53037,Sagebrush (Kittitas Valley),2010,48,100.8,3,3,-120.713486,47.144093
ID,Twin Falls County,16083,Salmon Falls,2011,14,21.0,3,3,-115.005684,42.684692
TX,Donley County,48129,Salt Fork,2016,87,174.0,3,3,-100.937035,35.176334
CA,Los Angeles County,6037,San Clemente Island,1998,3,0.675,3,3,-118.55278,32.987331
CA,Riverside County,6065,San Gorgonio Farms Wind Farm,1984,112,31.0,3,3,-116.617676,33.925053
CA,Riverside County,6065,San Gorgonio Westwinds II LLC,1999,14,9.8,3,3,-116.55619,33.895096
CA,Riverside County,6065,San Gorgonio Wind Associates 7,1986,2,1.32,2,3,-116.58709,33.922096
CA,Riverside County,6065,San Jacinto Power Company,1985,53,4.645,2,3,-116.562088,33.895893
NM,Roosevelt County,35041,San Juan Mesa,2005,120,120.0,3,3,-103.769791,33.958996
TX,Cameron County,48061,San Roman,2016,31,93.0,3,3,-97.361794,26.113384
TX,Glasscock County,48173,Sand Bluff,2007,45,90.0,3,3,-101.315994,31.995195
PA,Blair County,42013,Sandy Ridge,2012,25,50.0,3,3,-78.278999,40.726494
RI,Newport County,44005,Sandywoods,2012,1,0.275,3,3,-71.1539,41.620491
CA,Alameda County,6001,Santa Clara,1986,200,18.0,2,3,-121.651436,37.736496
PR,Santa Isabel Municipio,72133,Santa Isabel,2012,44,101.2,3,3,-66.38028,17.989609
TX,Reagan County,48383,Santa Rita,2018,120,300.0,3,3,-101.361938,31.151173
ID,Elmore County,16039,Sawtooth,2011,14,22.4,3,3,-115.397087,42.990093
VT,Bennington County,50003,Searsburg,1997,11,6.05,2,3,-72.962898,42.862591
OK,Dewey County,40043,Seiling,2014,117,198.9,3,3,-99.041725,36.132782
OK,Woodward County,40153,Seiling 2,2014,59,100.3,3,3,-98.971939,36.169384
AK,Northwest Arctic Borough,2188,Selawik Wind Project,2004,3,0.15,3,3,-160.0186,66.608353
TX,Jack County,48237,Senate,2012,75,150.0,3,3,-98.348892,33.179893
TX,Jim Hogg County,48247,Sendero,2015,39,78.0,3,3,-98.912086,27.214991
IA,Kossuth County,19109,Sentral Community School,1995,1,0.065,2,3,-94.388489,43.21059
IL,Iroquois County,17075,Settler's Trail,2011,94,150.4,3,3,-87.533791,40.68869
WY,Carbon County,56007,Seven Mile Hill I,2008,65,97.5,3,3,-106.425499,41.962044
WY,Carbon County,56007,Seven Mile Hill I & II,2008,79,118.5,3,3,-106.411789,41.945091
IL,Lee County,17103,Shady Oaks,2012,68,102.0,3,3,-89.106392,41.673092
AK,Nome Census Area,2180,Shaktoolik,2012,2,0.2,3,3,-161.203964,64.360901
TX,Clay County,48077,Shannon,2015,119,204.09,3,3,-98.335556,33.525208
MN,Lincoln County,27081,Shaokatan Hills,1999,18,11.88,3,3,-96.429688,44.405193
VT,Caledonia County,50005,Sheffield,2011,12,30.0,3,3,-72.096001,44.679489
IN,Henry County,18065,Shenandoah School Corporation,2013,1,0.9,3,3,-85.523666,40.010242
OR,Gilliam County,41021,Shepherds Flat,2011,82,205.0,3,3,-120.062386,45.746693
TX,Pecos County,48371,Sherbino I,2008,50,150.0,3,3,-102.349388,30.811295
TX,Pecos County,48371,Sherbino II,2011,60,150.0,3,3,-102.508293,30.771296
CA,Solano County,6095,Shiloh II,2009,33,66.0,2,3,-121.858086,38.185696
CA,Solano County,6095,Shiloh III,2011,46,94.3,3,3,-121.774284,38.179695
CA,Solano County,6095,Shiloh IV,2012,45,92.25,3,3,-121.851784,38.145893
CA,Solano County,6095,Shiloh Wind Project,2006,76,114.0,3,3,-121.877991,38.153194
WI,Brown County,55009,Shirley,2010,8,20.0,3,3,-87.925194,44.359493
KS,Kiowa County,20097,Shooting Star,2012,65,104.0,3,3,-99.443192,37.515694
IA,Osceola County,19143,Sibley Wind Farm,1997,2,1.2,2,3,-95.649292,43.408596
MI,Huron County,26063,Sigel Wind Park,2012,40,64.0,3,3,-82.786263,43.849331
WY,Laramie County,56021,Silver Sage,2009,20,42.0,3,3,-105.035889,41.133194
TX,Erath County,48143,Silver Star I,2008,24,60.0,3,3,-98.43399,32.329994
CA,Kern County,6029,Sky River,1990,342,76.95,2,3,-118.23909,35.227894
IA,Adair County,19001,Sky Volt,2012,1,1.68,3,3,-94.485191,41.290691
KS,Sumner County,20191,Slate Creek,2015,75,150.0,3,3,-97.254517,37.124966
OK,Harper County,40059,Sleeping Bear,2007,45,94.5,3,3,-99.494591,36.654095
KS,Lincoln County,20105,Smoky Hills,2008,56,100.8,3,3,-98.036591,38.886093
KS,Lincoln County,20105,Smoky Hills II,2008,99,148.5,3,3,-98.251694,38.888493
TX,Scurry County,48415,Snyder,2007,21,63.0,3,3,-100.736893,32.731293
CA,Solano County,6095,Solano Phase 3,2012,31,55.8,3,3,-121.803986,38.086594
CA,Solano County,6095,Solano Phase IIA,2006,8,24.0,3,3,-121.775085,38.097294
CA,Solano County,6095,Solano Wind Project,2007,21,63.0,3,3,-121.755585,38.091896
CA,Solano County,6095,"Solano Wind Project, Phase I",2003,15,9.9,3,3,-121.76799,38.123596
CA,Solano County,6095,"Solano Wind Project, Phase IA",2004,7,4.62,3,3,-121.775589,38.125195
PA,Somerset County,42111,Somerset,2001,6,9.0,3,3,-79.010201,39.985394
PA,Fayette County,42051,South Chestnut,2012,23,46.0,3,3,-79.745697,39.74279
SD,Hyde County,46069,South Dakota,2003,27,40.5,3,3,-99.457138,44.379101
SD,Brule County,46015,South Dakota Wind Partners,2011,7,10.5,3,3,-98.840691,43.918095
MN,Jackson County,27063,South Fork,2016,6,13.8,3,3,-95.399506,43.599777
OR,Gilliam County,41021,South Hurlburt,2012,116,290.0,3,3,-120.075584,45.683895
TX,Floyd County,48153,South Plains,2015,100,200.0,3,3,-101.39695,34.10144
TX,Floyd County,48153,South Plains II,2016,91,300.3,3,3,-101.383034,34.183681
TX,Nolan County,48353,South Trent Mesa,2009,44,101.2,2,3,-100.258789,32.417194
TX,Crockett County,48105,Southwest Mesa,1999,106,74.2,3,3,-102.056694,31.078695
UT,Utah County,49049,Spanish Fork,2008,9,18.9,3,3,-111.58239,40.071495
KS,Ford County,20057,Spearville,2006,67,100.5,2,3,-99.787209,37.872791
KS,Ford County,20057,Spearville 3,2012,63,100.8,3,3,-99.803192,37.873093
KS,Ford County,20057,Spearville I,2006,67,100.5,2,3,-99.707291,37.875694
KS,Ford County,20057,Spearville II,2010,32,48.0,2,3,-99.714188,37.867195
TX,Oldham County,48359,Spinning Spur 2,2014,87,160.95,3,3,-102.543091,35.296696
TX,Oldham County,48359,Spinning Spur 3,2015,97,194.0,3,3,-102.731529,35.275944
TX,Oldham County,48359,Spinning Spur Wind Ranch,2012,35,80.5,3,3,-102.428093,35.270794
MT,Judith Basin County,30045,Spion Kop,2012,25,40.0,3,3,-110.65419,47.324593
IA,Dickinson County,19059,Spirit Lake,2001,2,1.0,3,3,-95.099014,43.411377
CO,Logan County,8075,Spring Canyon,2006,40,60.0,3,3,-103.025291,40.973492
CO,Logan County,8075,Spring Canyon Expansion,2014,35,60.0,3,3,-102.967934,40.996132
NV,White Pine County,32033,Spring Valley,2012,66,151.8,3,3,-114.493187,39.075092
ME,Oxford County,23017,Spruce Mountain,2011,10,20.0,3,3,-70.560097,44.415691
AK,Aleutians West Census Area,2016,St. Paul Island I,1999,1,0.225,3,3,-170.235947,57.157486
TX,Martin County,48317,Stanton Energy Center,2008,80,120.0,3,3,-101.793991,32.240993
OR,Sherman County,41055,Star Point,2010,47,98.7,3,3,-120.423386,45.541492
WA,Walla Walla County,53071,Stateline Wind Project,2001,268,176.88,3,3,-118.805588,46.025494
NY,Erie County,36029,Steel Winds,2007,8,20.0,3,3,-78.867996,42.818592
NY,Erie County,36029,Steel Winds II,2012,6,15.0,3,3,-78.861,42.804893
NE,Jefferson County,31095,Steele Flats,2013,44,74.8,3,3,-96.951981,40.018162
TX,Borden County,48033,Stephens Ranch 1,2014,118,211.22,3,3,-101.625603,32.904503
TX,Lynn County,48305,Stephens Ranch II,2015,92,164.68,3,3,-101.707901,32.973183
NM,Lea County,35025,Sterling Phase I,2017,13,29.9,3,3,-103.307693,33.358902
ME,Washington County,23029,Stetson,2009,38,57.0,3,3,-67.976799,45.52449
ME,Washington County,23029,Stetson Wind expansion,2010,17,25.5,3,3,-67.978203,45.639091
MI,Missaukee County,26113,Stoney Corners - Repower,2009,7,14.35,3,3,-85.332794,44.186192
MI,Missaukee County,26113,Stoney Corners II,2010,9,18.45,3,3,-85.316399,44.17469
MI,Missaukee County,26113,Stoney Corners III,2011,8,16.4,3,3,-85.266693,44.175491
PA,Somerset County,42111,Stony Creek,2009,35,52.5,3,3,-78.816498,40.043293
IA,Buena Vista County,19021,Storm Lake I,1999,145,108.75,3,3,-95.312119,42.767536
IA,Buena Vista County,19021,Storm Lake II,1999,106,79.5,3,3,-95.382698,42.866592
IA,Story County,19169,Story City Wind,2011,1,1.5,3,3,-93.598991,42.207893
IA,Story County,19169,Story County,2008,100,150.0,3,3,-93.340393,42.14579
IA,Story County,19169,Story II (aka Garden Wind),2009,100,150.0,3,3,-93.343697,42.172291
ND,Stark County,38089,Sunflower,2016,52,104.0,3,3,-102.109894,46.829769
TX,Moore County,48341,Sunray I,2009,7,10.5,3,3,-101.888191,35.935993
TX,Moore County,48341,Sunray II,2009,26,39.0,3,3,-101.912689,35.965195
CA,Solano County,6095,Superior Farms,2012,1,1.0,3,3,-121.81749,38.420094
WA,Kittitas County,53037,Swauk Valley,2012,5,4.25,3,3,-120.754288,47.141693
TX,Nolan County,48353,Sweetwater,2003,25,37.5,3,3,-100.328659,32.382778
TX,Nolan County,48353,Sweetwater IVa,2007,135,135.0,3,3,-100.492294,32.309895
TX,Nolan County,48353,Sweetwater IVb,2007,46,105.8,3,3,-100.493195,32.286594
TX,Nolan County,48353,Sweetwater Phase II,2005,9,14.58,3,3,-100.393661,32.355812
TX,Nolan County,48353,Sweetwater Phase III,2005,90,135.0,3,3,-100.431496,32.270294
TX,Nolan County,48353,Sweetwater V,2007,35,80.5,3,3,-100.477089,32.235893
OH,Henry County,39069,TJ Automation,2010,1,0.1,2,3,-84.30851,41.459095
MN,St. Louis County,27137,Taconite Ridge Energy Center,2008,10,25.0,3,3,-92.601189,47.57299
MD,Talbot County,24041,Talbot County DPW,2010,3,0.3,2,3,-76.031288,38.818398
OK,Dewey County,40043,Taloga,2011,54,129.6,3,3,-98.886391,35.873196
SD,McPherson County,46089,Tatanka,2008,59,88.5,3,3,-99.013489,45.912392
CA,Monterey County,6053,Taylor Farms,2014,1,1.85,3,3,-121.451797,36.50515
CA,Kern County,6029,Tehachapi Hills,1985,232,20.88,2,3,-118.343079,35.097141
CA,Kern County,6029,Tehachapi Hills (85A),1985,157,14.13,2,3,-118.337463,35.101444
CA,Kern County,6029,Tehachapi Hills (85B),1985,215,19.35,2,3,-118.335625,35.100819
CA,Kern County,6029,Tehachapi Windplant I,1984,134,8.71,2,3,-118.387611,35.058147
CA,Kern County,6029,Tehachapi Windplant II,1997,13,8.45,2,3,-118.295288,35.115597
IL,Cook County,17031,Testa Produce,2011,1,0.75,3,3,-87.653992,41.810692
MN,Pipestone County,27117,Tholen & Petersen,2005,8,13.2,2,3,-96.101395,44.076591
ID,Twin Falls County,16083,Thousand Springs,2011,8,12.0,2,3,-114.966805,42.876469
OR,Morrow County,41049,Threemile Canyon,2009,6,9.9,2,3,-119.937683,45.675896
OK,Noble County,40103,Thunder Ranch,2017,109,272.5,3,3,-97.419708,36.570225
ND,Adams County,38001,Thunder Spirit,2015,43,107.5,3,3,-102.565346,46.065971
OH,Paulding County,39125,Timber Road II,2011,55,99.0,3,3,-84.718193,41.021294
AK,Nome Census Area,2180,Tin City Long Range Radar Station,2008,1,0.225,3,3,-167.962418,65.568611
SD,Hand County,46059,Titan I,2009,10,25.0,3,3,-99.12249,44.479992
IA,Floyd County,19067,Tjaden Farms,2006,1,0.45,3,3,-92.623596,43.15649
AK,Bethel Census Area,2050,Toksook Bay Expansion,2010,1,0.1,3,3,-165.116974,60.526302
IA,Worth County,19195,Top of Iowa,2001,89,80.1,3,3,-93.414093,43.334091
IA,Worth County,19195,Top of Iowa II,2008,40,80.0,3,3,-93.297401,43.340134
IA,Worth County,19195,Top of Iowa III,2008,18,29.7,2,3,-93.287941,43.360886
WY,Converse County,56009,Top of the World,2010,44,101.2,3,3,-105.767586,42.905392
NY,Oswego County,36075,Town of Richland,2010,1,0.1,1,3,-76.036995,43.565189
TX,Nolan County,48353,Trent Mesa,2001,100,150.0,3,3,-100.186348,32.429127
MN,Martin County,27091,Trimont Wind,2005,67,100.5,3,3,-94.842194,43.809292
TX,Archer County,48009,Trinity Hills,2012,90,225.0,3,3,-98.717995,33.404694
ID,Twin Falls County,16083,Tuana Gulch,2011,7,10.5,3,3,-114.969284,42.833794
ID,Twin Falls County,16083,Tuana Springs,2010,8,16.8,3,3,-115.01709,42.898594
WA,Columbia County,53013,Tucannon River,2014,116,266.8,3,3,-118.085587,46.428444
CA,San Diego County,6073,Tule,2018,57,131.1,3,3,-116.280518,32.767384
AK,Bethel Census Area,2050,Tuntutuliak,2012,5,0.475,3,3,-162.663376,60.337799
PA,Lancaster County,42071,Turkey Hill Frey Farm,2011,2,3.2,2,3,-76.456902,39.958691
TX,Nolan County,48353,Turkey Track,2008,113,169.5,3,3,-100.277596,32.207596
MI,Tuscola County,26157,Tuscola Bay Wind,2012,67,107.2,3,3,-83.679695,43.51659
MI,Tuscola County,26157,Tuscola II,2013,59,100.3,3,3,-83.574799,43.51889
CO,Bent County,8011,Twin Buttes,2007,50,75.0,3,3,-102.848892,37.689396
CO,Prowers County,8099,Twin Buttes II,2017,30,63.0,3,3,-102.567368,37.772194
IL,McLean County,17113,Twin Groves I,2007,120,198.0,2,3,-88.647697,40.463593
IL,McLean County,17113,Twin Groves II,2008,22,36.3,2,3,-88.615196,40.407192
PA,Somerset County,42111,Twin Ridges,2012,23,47.15,2,3,-78.91021,39.726498
MT,Wheatland County,30107,Two Dot,2014,6,9.72,3,3,-110.089584,46.453293
MT,Wheatland County,30107,Two Dot wind farm,2005,7,0.455,2,3,-110.093216,46.444416
TX,Cooke County,48097,Tyler Bluff,2016,52,125.58,3,3,-97.419106,33.699669
TX,Randall County,48381,UL Advanced Wind Turbine Test Facility,2018,1,3.57,3,3,-101.789894,34.969849
AK,Nome Census Area,2180,Unalakleet,2009,6,0.6,2,3,-160.770172,63.910702
MN,Stevens County,27149,University of MN -- Morris,2005,1,1.65,3,3,-95.877083,45.589645
OH,Hardin County,39065,Upper Scioto Valley School,2009,2,0.2,2,3,-83.79055,40.689888
CA,Riverside County,6065,VPI Enterprises Inc.,1985,97,10.435,2,3,-116.56459,33.893696
MN,Murray County,27101,Valley View,2011,5,10.0,3,3,-96.007294,43.905193
OR,Umatilla County,41059,Vansycle I,1998,38,25.08,2,3,-118.686089,45.985481
OR,Umatilla County,41059,Vansycle II,2009,43,98.9,3,3,-118.588486,45.909492
WA,Kittitas County,53037,Vantage Point,2010,60,90.0,3,3,-120.150688,46.957394
CA,Contra Costa County,6013,Vasco (repower),2011,34,78.2,3,3,-121.725288,37.794697
ND,McHenry County,38049,Velva Wind Farm,2006,18,11.88,2,3,-100.907593,48.092293
IA,Crawford County,19047,Victory,2006,66,105.6,3,3,-95.125694,42.131294
IA,Tama County,19171,Vienna,2012,45,105.75,3,3,-92.694092,42.152191
IA,Marshall County,19127,Vienna II,2013,19,44.65,3,3,-92.860497,42.159393
MN,Murray County,27101,Viking,2003,8,12.0,2,3,-96.008286,43.970428
RI,Kent County,44003,WED Coventry 2,2016,3,4.5,3,3,-71.703789,41.667122
RI,Kent County,44003,WED Coventry 5,2017,1,1.5,3,3,-71.699883,41.659916
RI,Newport County,44005,WED Portsmouth 1,2016,1,1.5,3,3,-71.25132,41.614353
WI,Kewaunee County,55061,WPS Wind Farm (Casco),1999,14,9.24,3,3,-87.552696,44.606693
TX,Crosby County,48107,Wake,2016,150,257.25,3,3,-101.07692,33.806061
CA,Tehama County,6103,Walmart Red Bluff,2012,1,1.5,3,3,-122.193886,40.111195
IA,Pottawattamie County,19155,Walnut Wind Project,2008,102,153.0,3,3,-95.172195,41.495594
MN,Mower County,27099,Wapsipinicon Wind,2008,67,100.5,3,3,-92.683495,43.758892
KS,Coffey County,20031,Waverly,2015,90,189.0,3,3,-95.586441,38.321552
IA,Bremer County,19017,Waverly III (Skeets 4),2001,1,0.9,3,3,-92.438759,42.762283
PA,Wayne County,42127,Waymart Wind Farm,2003,43,64.5,3,3,-75.434799,41.603592
OK,Custer County,40039,Weatherford Wind Energy Center,2005,71,106.5,3,3,-98.75219,35.558594
OK,Custer County,40039,Weatherford Wind Energy Center Expansion,2005,27,40.5,3,3,-98.669395,35.471195
TX,Carson County,48065,Wege Wind Farm,2008,8,10.0,3,3,-101.536095,35.341393
IA,Grundy County,19075,Wellsburg,2014,60,140.76,3,3,-92.985016,42.363434
SD,Jerauld County,46073,Wessington Springs,2009,34,51.0,3,3,-98.614494,43.986294
IN,Pulaski County,18131,West Central School Corporation,2012,1,0.9,3,3,-86.885483,41.027817
MN,Pipestone County,27117,West Pipestone (Maiden Winds),2004,5,8.25,3,3,-96.430389,44.025593
TX,Culberson County,48109,West Texas Windplant,1995,110,38.5,2,3,-104.766594,31.749895
KS,Ford County,20057,Western Plains,2017,122,280.6,3,3,-99.68644,37.847385
MN,Pipestone County,27117,Westridge,2003,18,17.1,3,3,-96.218834,43.980297
CA,Riverside County,6065,Westwind Association,1985,164,15.286,2,3,-116.569489,33.930294
NY,Wyoming County,36121,Wethersfield,2000,10,6.6,3,3,-78.243698,42.678791
OR,Gilliam County,41021,Wheatfield,2009,46,96.6,3,3,-120.324989,45.672493
OH,Marion County,39101,Whirlpool Corporation - Marion Wind Farm,2017,3,4.5,3,3,-83.182312,40.591534
TX,Floyd County,48153,Whirlwind Energy Center,2007,26,59.8,3,3,-101.093292,34.143394
IA,Franklin County,19069,Whispering Willow I,2009,121,199.65,3,3,-93.226692,42.639793
WA,Klickitat County,53039,White Creek,2007,89,204.7,3,3,-120.369087,45.832596
IL,McLean County,17113,White Oak,2011,100,150.0,3,3,-89.072197,40.570293
TX,Webb County,48479,White Tail,2012,57,91.2,3,3,-98.978294,27.494595
CA,Riverside County,6065,Whitewater Hill,2002,41,61.5,3,3,-116.620285,33.927395
WA,Kittitas County,53037,Wild Horse I,2006,127,228.6,3,3,-120.214088,47.054394
WA,Kittitas County,53037,Wild Horse II,2009,22,44.0,3,3,-120.228485,47.069893
IN,Tipton County,18159,Wildcat I,2012,125,200.0,3,3,-85.874191,40.354591
NM,Lea County,35025,Wildcat Wind Project,2012,13,27.3,3,3,-103.276192,32.950195
TX,Oldham County,48359,Wildorado,2007,70,161.0,3,3,-102.331291,35.304295
MN,Kandiyohi County,27067,Willmar,2009,2,4.0,3,3,-95.006889,45.159393
OR,Gilliam County,41021,Willow Creek,2009,48,72.0,3,3,-120.003487,45.657795
OR,Baker County,41001,Willow Spring,2017,5,10.0,3,3,-117.274872,44.381596
TX,Haskell County,48207,Willow Springs Wind Farm,2017,100,250.0,3,3,-99.638298,33.278641
ND,Burleigh County,38015,Wilton Wind Energy Center II,2009,33,49.5,3,3,-100.63987,47.114449
ND,Burleigh County,38015,Wilton Wind Farm,2006,12,18.0,3,3,-100.670288,47.117893
IA,Adair County,19001,Wind GEM,2015,1,1.85,3,3,-94.339256,41.469986
CA,Kern County,6029,Windland,1982,59,13.56,2,3,-118.341736,35.093502
CA,Kern County,6029,Windridge Wind Farm,1984,41,4.1,2,3,-118.394493,35.093586
CA,Kern County,6029,Windstar,2012,37,74.0,3,3,-118.376091,35.058296
TX,Archer County,48009,Windthorst-2,2014,28,64.4,3,3,-98.513359,33.506516
WA,Klickitat County,53039,Windy Point I (Tuolomne Wind Project),2009,42,96.6,3,3,-120.760185,45.740395
WA,Klickitat County,53039,Windy Point II,2009,88,202.4,3,3,-120.837585,45.731396
WA,Klickitat County,53039,Windy Point IIa (Windy Flats Extension),2009,26,59.8,3,3,-120.875488,45.703995
WA,Klickitat County,53039,Windy Point Iia,2009,26,59.8,3,3,-120.885971,45.698986
IA,Winnebago County,19189,Winnebago I,2008,10,20.0,3,3,-93.766891,43.31879
MN,Winona County,27169,Winona,2011,2,1.5,3,3,-91.923294,44.115391
CA,Riverside County,6065,Wintec Palm,1986,22,1.43,2,3,-116.559311,33.912647
IA,Cass County,19029,Wiota Wind,2012,1,1.6,3,3,-94.876793,41.391495
MN,Nobles County,27105,Wolf,2006,5,6.25,3,3,-95.779991,43.580994
TX,Cooke County,48097,Wolf Ridge,2008,75,112.5,3,3,-97.421593,33.708393
ID,Bingham County,16011,Wolverine Creek,2005,43,64.5,3,3,-111.865089,43.336693
MN,Pipestone County,27117,Woodstock,1999,17,10.2,3,3,-96.075081,43.991112
TX,Pecos County,48371,Woodward Mountain I & II,2001,242,159.72,3,3,-102.413589,30.953094
OH,Crawford County,39033,Wynford Local Schools,2011,2,0.2,3,3,-83.019592,40.822792
ID,Twin Falls County,16083,Yahoo Creek,2010,14,21.0,3,3,-115.006485,42.756596
IA,Osceola County,19143,Zachary Ridge,2010,1,2.0,3,3,-95.65477,43.405952
NY,Ontario County,36069,Zotos,2011,2,3.3,3,3,-76.967598,42.886192
ND,Adams County,38001,unknown Adams County,2018,11,-9999.0,1,1,-102.524536,46.049023
CA,Alameda County,6001,unknown Alameda County,2011,6,-9999.0,1,3,-122.251717,37.732388
CA,Alameda County,6001,unknown Alameda County 2 NEG Micon 60KW,1981,84,7.41,2,3,-121.577385,37.759495
CA,Alameda County,6001,unknown Alameda County 250KW,1987,1,4.25,3,3,-121.596085,37.696896
CA,Alameda County,6001,unknown Alameda County 65KW,1981,48,3.185,2,3,-121.562286,37.724094
CA,Alameda County,6001,unknown Alameda County Bonus,1981,16,33.72,2,3,-121.649689,37.729095
NE,Antelope County,31003,unknown Antelope County,2018,81,-9999.0,1,1,-97.921089,42.161293
TX,Armstrong County,48011,unknown Armstrong County,2017,77,-9999.0,1,1,-101.301628,34.929165
SD,Aurora County,46003,unknown Aurora County,2018,5,-9999.0,1,1,-98.757484,43.7262
TX,Bailey County,48017,unknown Bailey County,2018,10,-9999.0,1,1,-102.710991,34.061489
AK,Bethel Census Area,2050,unknown Bethel Census Area,2014,10,-9999.0,1,3,-161.793533,60.794064
SD,Brule County,46015,unknown Brule County,2018,9,-9999.0,1,1,-98.919075,43.719685
IL,Bureau County,17011,unknown Bureau County,2018,26,-9999.0,1,1,-89.613472,41.464005
NE,Butler County,31023,unknown Butler County,2012,1,-9999.0,1,3,-97.111458,41.205013
OK,Caddo County,40015,unknown Caddo County,-9999,16,-9999.0,1,3,-98.257599,35.367001
OK,Canadian County,40017,unknown Canadian County,2016,8,-9999.0,1,2,-98.256645,35.395241
IA,Cerro Gordo County,19033,unknown Cerro Gordo County,-9999,1,-9999.0,1,3,-93.428192,43.072491
NY,Chautauqua County,36013,unknown Chautauqua County,2018,36,-9999.0,1,1,-79.245026,42.427578
CO,Cheyenne County,8017,unknown Cheyenne County,2018,9,-9999.0,1,1,-103.148773,39.023155
KS,Clark County,20025,unknown Clark County,2016,8,-9999.0,1,3,-99.942451,37.361828
IA,Clay County,19041,unknown Clay County,2018,16,-9999.0,1,1,-95.380608,43.131992
TX,Collin County,48085,unknown Collins County,2011,2,-9999.0,1,3,-96.61689,33.221596
TX,Concho County,48095,unknown Concho County,2018,84,-9999.0,1,3,-100.029266,31.11792
NM,Curry County,35009,unknown Curry County,2018,70,-9999.0,1,1,-103.265625,34.813374
OH,Darke County,39037,unknown Darke County,2018,2,-9999.0,1,1,-84.608215,40.127693
MO,DeKalb County,29063,unknown DeKalb County,-9999,22,-9999.0,1,3,-94.483322,39.844395
OK,Dewey County,40043,unknown Dewey County,2018,21,-9999.0,1,3,-99.359901,36.152996
NE,Dixon County,31051,unknown Dixon County,2018,90,-9999.0,1,1,-96.872879,42.375641
KS,Doniphan County,20043,unknown Doniphan County,2014,1,-9999.0,1,3,-94.942856,39.783024
TX,El Paso County,48141,unknown El Paso County,2015,2,-9999.0,3,3,-106.40567,31.788097
CO,Elbert County,8039,unknown Elbert County,2018,189,-9999.0,1,1,-103.952133,39.122021
OK,Ellis County,40045,unknown Ellis County,2018,9,-9999.0,1,3,-99.401657,36.131611
